operativo|consistencia|precondicion|postcondicion|activa|clausula_from|clausula_where|campos_pk|error_compilacion|valida|explicacion|falsos_positivos|momento|tipo|modulo|observaciones|variables_de_contexto|compilada
repsic241|asiste_compl|p5=1|p7<>1|true|FROM grupo_personas JOIN personas ON grupo_personas.id_caso=personas.id_caso|WHERE (null2zero(p5) = 1) AND (null2zero(p7) <> 1) IS NOT TRUE|personas.operativo,personas.id_caso,personas.p0||false|Si asiste, el nivel no puede estar completo|||conceptual|personas|||2018-11-26 14:48:40.185
repsic241|cant_per_o4_1|cant_per>=1|o4=1|true|FROM grupo_personas JOIN repsic241_grupo_personas_calculada ON grupo_personas.id_caso=repsic241_grupo_personas_calculada.id_caso|WHERE (null2zero(cant_per) >= 1) AND (null2zero(o4) = 1) IS NOT TRUE|repsic241_grupo_personas_calculada.operativo,repsic241_grupo_personas_calculada.id_caso||false|Si existen registros abiertos en la tabla de personas entrevistadas, debería estar marcada la entrevista como realizada (o4=1)|false|Recepción|completitud|relaciones|||2018-11-27 11:50:52.262
repsic241|cant_per_u8_a|cant_per>0|cant_per<=u8|true|FROM grupo_personas JOIN repsic241_grupo_personas_calculada ON grupo_personas.id_caso=repsic241_grupo_personas_calculada.id_caso|WHERE (null2zero(cant_per) > 0) AND (null2zero(cant_per) <= null2zero(u8)) IS NOT TRUE|repsic241_grupo_personas_calculada.operativo,repsic241_grupo_personas_calculada.id_caso||false|El total de personas entrevistadas (cant_per) no puede ser mayor que el total de personas observadas (u8)|false|Recepción|conceptual|relaciones|||2018-11-27 11:50:52.771
repsic241|cant_per_u8_b|cant_per>0|cant_per>=u8|true|FROM grupo_personas JOIN repsic241_grupo_personas_calculada ON grupo_personas.id_caso=repsic241_grupo_personas_calculada.id_caso|WHERE (null2zero(cant_per) > 0) AND (null2zero(cant_per) >= null2zero(u8)) IS NOT TRUE|repsic241_grupo_personas_calculada.operativo,repsic241_grupo_personas_calculada.id_caso||false|El total de personas entrevistadas no debería ser menor que el total de personas observadas. Chequear que no se haya omitido alguna persona en el ingreso, en caso contrario detallar el motivo de la diferencia|true|Recepción|conceptual|relaciones|||2018-11-27 11:50:53.719
repsic241|cant11_componentes|o4=1|cant11=cant_0a14_va|true||||La consistencia "cant11_componentes" del operativo "repsic241" es inválida. La variable "cant_0a14_va" no se encontró en la lista de variables|false|La cantidad de personas de 0 a 14 años varones  de la grilla y de los miembros entrevistados debería ser la misma|||conceptual|personas|!!!!! Construir variables agregadas por hogar: cant_0a14_va y sig||
repsic241|cant12_componentes|o4=1|cant12=cant_0a14_mu|true|FROM grupo_personas JOIN repsic241_grupo_personas_calculada ON grupo_personas.id_caso=repsic241_grupo_personas_calculada.id_caso|WHERE (null2zero(o4) = 1) AND (null2zero(cant12) = null2zero(cant_0a14_mu)) IS NOT TRUE|repsic241_grupo_personas_calculada.operativo,repsic241_grupo_personas_calculada.id_caso||false|La cantidad de personas de 0 a 14 años mujeres de la grilla y de los miembros entrevistados debería ser la misma|||conceptual|personas|||2018-11-28 14:54:31.231
repsic241|cant13_componentes|o4=1|cant13=cant_0a14_no_obs|true||||La consistencia "cant13_componentes" del operativo "repsic241" es inválida. La variable "cant_0a14_no_obs" no se encontró en la lista de variables|false|La cantidad de personas de 0 a 14 años de sexo no observado de la grilla y de los miembros entrevistados debería ser la misma|||conceptual|personas|||
repsic241|cant14_componentes|o4=1|cant14=cant_0a14_tot|true||||La consistencia "cant14_componentes" del operativo "repsic241" es inválida. La variable "cant_0a14_tot" no se encontró en la lista de variables|false|La cantidad de personas de 0 a 14 años de la grilla y de los miembros entrevistados debería ser la misma|||conceptual|personas|||
repsic241|cant21_componentes|o4=1|cant21=cant_15a18_va|true||||La consistencia "cant21_componentes" del operativo "repsic241" es inválida. La variable "cant_15a18_va" no se encontró en la lista de variables|false|La cantidad de personas de 15 a 18 años varones de la grilla y de los miembros entrevistados debería ser la misma|||conceptual|personas|||
repsic241|cant22_componentes|o4=1|cant22=cant_15a18_mu|true||||La consistencia "cant22_componentes" del operativo "repsic241" es inválida. La variable "cant__15a18_mu" no se encontró en la lista de variables|false|La cantidad de personas de 15 a 18 mujeres de la grilla y de los miembros entrevistados debería ser la misma|||conceptual|personas|||
